No. Polisi;No. Kontainer;JIIPE Pass;CustomsPass;PortPass;Nama Perusahaan;Aktivitas;Waktu Masuk;Waktu Keluar;Status
L9424UC;-;-;-;-;-;-;20/11/2025, 22.10;-;Berlangsung
W1219SV;-;-;-;-;-;-;20/11/2025, 17.47;-;Berlangsung
H9923OF;-;TKT-84637123;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 15.28;20/11/2025, 15.28;Selesai
L8330UDD;TLLU4094278;-;-;-;-;-;20/11/2025, 13.37;-;Berlangsung
L9335GM;-;-;-;-;-;-;20/11/2025, 10.37;-;Berlangsung
L8771UM;-;TKT-40278706;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 09.16;20/11/2025, 09.27;Selesai
L8300UM;-;TKT-83111926;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 08.25;20/11/2025, 08.25;Selesai
L8070UD;-;TKT-83111926;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 06.04;20/11/2025, 06.04;Selesai
W2509CL;-;TKT-40278706;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 04.11;20/11/2025, 04.11;Selesai
W9217UK;-;-;-;-;-;-;19/11/2025, 23.32;-;Berlangsung
L8041UUD;-;-;-;-;-;-;19/11/2025, 20.52;-;Berlangsung
L9140UW;-;-;-;-;-;-;19/11/2025, 20.12;-;Berlangsung
L8337UBA;-;TKT-28813656;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;19/11/2025, 15.12;19/11/2025, 15.12;Selesai
S8638UN;MRTU2299117;TKT-93374701;002091/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;19/11/2025, 14.12;-;Berlangsung
L1886OY;-;TKT-75090190;004886/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;19/11/2025, 14.10;20/11/2025, 08.46;Selesai
L8333UBA;-;TKT-28813656;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;19/11/2025, 13.25;19/11/2025, 13.25;Selesai
L9350UX;CSNU1961975;TKT-29007151;002080/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;19/11/2025, 13.24;-;Berlangsung
W8616DZ;-;-;-;-;-;-;19/11/2025, 09.41;-;Berlangsung
W8593DQ;-;TKT-95169291;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;19/11/2025, 08.01;19/11/2025, 08.01;Selesai
W8658F;-;TKT-95169291;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;19/11/2025, 08.01;19/11/2025, 08.01;Selesai
L1795RZ;-;TKT-96290702;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;18/11/2025, 17.07;18/11/2025, 17.07;Selesai
B9525UIX;-;TKT-97748079;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;18/11/2025, 13.25;18/11/2025, 13.25;Selesai
W8129UQ;-;TKT-84159978;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;18/11/2025, 10.42;18/11/2025, 10.42;Selesai
H1990DF;-;TKT-60841242;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;18/11/2025, 10.10;18/11/2025, 10.10;Selesai
B9691IU;-;TKT-27968044;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;18/11/2025, 04.34;18/11/2025, 04.34;Selesai
L9573UO;-;TKT-27968044;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;18/11/2025, 04.24;18/11/2025, 04.24;Selesai
W8683PK;-;TKT-79275252;004872/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;17/11/2025, 17.09;-;Berlangsung
W9438NR;-;TKT-79275252;004872/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;17/11/2025, 17.08;-;Berlangsung
W8106PC;-;TKT-79275252;004872/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;17/11/2025, 17.06;-;Berlangsung
L8192NF;-;TKT-23252330;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;17/11/2025, 13.40;17/11/2025, 13.40;Selesai
B9692IU;-;TKT-89104524;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;17/11/2025, 04.07;17/11/2025, 04.07;Selesai
L8194UN;-;TKT-76146271;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;14/11/2025, 16.58;14/11/2025, 16.58;Selesai
L1886OY;-;TKT-68585098;004851/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;14/11/2025, 16.56;-;Berlangsung
L8570UI;-;TKT-76146271;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;14/11/2025, 14.49;14/11/2025, 14.49;Selesai
L9705GM;-;TKT-87327897;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;14/11/2025, 12.27;14/11/2025, 12.27;Selesai
L1095PW;-;TKT-95028770;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;14/11/2025, 09.02;14/11/2025, 09.02;Selesai
H9568OH;-;-;-;-;-;-;13/11/2025, 22.15;-;Berlangsung
H9568OH;-;-;-;-;-;-;13/11/2025, 22.15;-;Berlangsung
L8771UM;MRKU4723300;TKT-78687319;002057/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;13/11/2025, 14.35;-;Berlangsung
L8791NC;-;-;-;-;-;-;13/11/2025, 14.24;-;Berlangsung
B9573TUT;-;-;-;-;-;-;13/11/2025, 14.23;-;Berlangsung
L8370UA;-;TKT-10829511;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;13/11/2025, 11.16;13/11/2025, 11.16;Selesai
W8774UP;-;TKT-17689418;004824/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;12/11/2025, 16.52;14/11/2025, 08.50;Selesai
W8616DZ;-;-;-;-;-;-;12/11/2025, 10.10;-;Berlangsung
H9347NC;-;-;-;-;-;-;11/11/2025, 11.04;-;Berlangsung
W1789BA;-;TKT-52700892;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;11/11/2025, 09.15;11/11/2025, 09.15;Selesai
B9403SD;-;TKT-30305682;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;11/11/2025, 08.04;11/11/2025, 08.04;Selesai
B9325QZ;-;TKT-44582348;004799/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;10/11/2025, 16.16;13/11/2025, 16.58;Selesai
W8954PT;-;TKT-89456724;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;10/11/2025, 14.59;10/11/2025, 15.10;Selesai
W9280CA;TRHU3315588;TKT-16473954;004742/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;10/11/2025, 14.05;13/11/2025, 15.58;Selesai
L9069UT;-;-;-;-;-;-;10/11/2025, 12.37;-;Berlangsung
W8710PE;-;TKT-78912774;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;10/11/2025, 11.57;10/11/2025, 11.57;Selesai
P8608UQH;-;-;-;-;-;-;09/11/2025, 23.43;-;Berlangsung
BG8131KP;-;-;-;-;-;-;09/11/2025, 21.57;-;Berlangsung
L8851UN;-;-;-;-;-;-;09/11/2025, 16.00;-;Berlangsung
L8352UB;DFSU1663613;TKT-90830882;002024/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 20.49;12/11/2025, 16.48;Selesai
L8789UO;TGBU2092779;TKT-90830882;002024/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 20.01;-;Berlangsung
B9170PI;TRHU2370678;TKT-90830882;002024/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 19.31;-;Berlangsung
L8651UR;FCIU5478348;TKT-90830882;002024/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 18.44;-;Berlangsung
L8710BX;UETU2252981;TKT-90830882;002024/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 17.55;-;Berlangsung
L9103UE;TEMU4282295;TKT-90830882;002024/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 17.53;-;Berlangsung
B9502JK;TRHU3473325;TKT-90830882;002024/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 16.00;-;Berlangsung
B9396TX;BSIU2677030;TKT-90830882;002024/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 15.58;-;Berlangsung
A8390EB;-;TKT-71949543;004771/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;07/11/2025, 13.06;13/11/2025, 17.23;Selesai
W4616AW;-;-;-;-;-;-;07/11/2025, 09.54;-;Berlangsung
L1397EH;-;TKT-44610897;004734/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;06/11/2025, 12.56;-;Berlangsung
W1789BA;-;TKT-45457591;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;06/11/2025, 10.07;06/11/2025, 10.07;Selesai
W8616DZ;-;-;-;-;-;-;06/11/2025, 09.12;-;Berlangsung
W8616DZ;-;-;-;-;-;-;06/11/2025, 09.11;-;Berlangsung
W1228DZ;-;TKT-16473954;004742/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;05/11/2025, 15.04;-;Berlangsung
L9573UO;OOCU7521779;TKT-42183389;002007/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;05/11/2025, 12.25;-;Berlangsung
L9870CI;-;TKT-46704914;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;05/11/2025, 11.24;05/11/2025, 11.24;Selesai
L8515NB;-;TKT-17571657;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;04/11/2025, 11.02;04/11/2025, 11.02;Selesai
L8249UX;-;TKT-98641718;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/11/2025, 10.54;04/11/2025, 10.54;Selesai
W9767UZ;-;TKT-98641718;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/11/2025, 10.33;04/11/2025, 10.33;Selesai
L9576UD;-;TKT-98641718;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/11/2025, 10.31;04/11/2025, 10.31;Selesai
L8039UL;-;TKT-24712706;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/11/2025, 08.25;04/11/2025, 08.25;Selesai
L8132UDD;TGHU1857232;-;-;-;-;-;03/11/2025, 22.45;-;Berlangsung
B9692IU;-;TKT-80286836;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;03/11/2025, 14.57;03/11/2025, 14.57;Selesai
L9570UR;-;TKT-80286836;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;03/11/2025, 12.13;03/11/2025, 12.13;Selesai
S8317HN;-;TKT-15495473;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;03/11/2025, 11.45;03/11/2025, 11.45;Selesai
L8771UM;-;TKT-80286836;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;03/11/2025, 11.14;03/11/2025, 11.14;Selesai
W8129UQ;-;TKT-53554061;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;03/11/2025, 10.46;03/11/2025, 10.46;Selesai
B9020PYX;-;TKT-50810885;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;31/10/2025, 21.55;31/10/2025, 21.55;Selesai
S8189SD;-;TKT-71489114;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;31/10/2025, 13.37;31/10/2025, 13.37;Selesai
W8616DZ;-;TKT-84258069;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;30/10/2025, 13.05;30/10/2025, 13.05;Selesai
L9039CC;-;TKT-86147495;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;30/10/2025, 10.19;30/10/2025, 10.19;Selesai
L1829IJ;-;TKT-55367519;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;29/10/2025, 10.58;29/10/2025, 10.58;Selesai
W1732DD;-;TKT-41060932;004633/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;29/10/2025, 09.19;-;Berlangsung
L8606DS;-;TKT-52685783;004648/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 18.33;-;Berlangsung
L8376GB;-;TKT-52685783;004648/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 18.31;-;Berlangsung
L8685US;SKLU1644972;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 18.18;-;Berlangsung
L8376GB;-;TKT-52685783;004648/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 17.21;-;Berlangsung
L8692UL;SKLU2025669;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 17.17;-;Berlangsung
B9325QZ;-;TKT-52685783;004648/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 16.39;-;Berlangsung
L1108BAM;-;TKT-42910147;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;28/10/2025, 14.51;28/10/2025, 14.51;Selesai
L9941UQ;SKLU1525314;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 13.44;-;Berlangsung
L9939UP;FBIU0004025;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 13.40;-;Berlangsung
B9170KAV;SKLU1324691;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 13.38;-;Berlangsung
K9027DT;-;TKT-77748943;004647/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 13.23;-;Berlangsung
L9570UR;HALU2027320;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 13.14;-;Berlangsung
L8643UUC;SKLU1305310;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 13.14;-;Berlangsung
L8227UCD;TEMU1170239;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 13.12;-;Berlangsung
L8874UG;SKLU1608430;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 13.11;-;Berlangsung
W9181UQ;-;TKT-40260641;004645/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 11.22;-;Berlangsung
B9502JK;SKLU1522608;TKT-15676377;001948/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/10/2025, 09.23;-;Berlangsung
L1035DAC;-;TKT-76761616;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;28/10/2025, 08.45;28/10/2025, 08.45;Selesai
L1095PW;-;TKT-89666974;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;28/10/2025, 08.22;28/10/2025, 08.22;Selesai
B9573TUT;-;TKT-40362179;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;27/10/2025, 15.05;27/10/2025, 15.05;Selesai
L8820CAB;-;TKT-86218835;004632/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;27/10/2025, 10.45;27/10/2025, 13.55;Selesai
B9020PYX;-;TKT-66984583;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;25/10/2025, 13.00;25/10/2025, 13.00;Selesai
L4310DAX;-;TKT-26481112;004605/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;24/10/2025, 14.10;-;Berlangsung
L1095PW;-;TKT-99352483;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;24/10/2025, 13.01;24/10/2025, 13.01;Selesai
E8097BE;-;TKT-64896726;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;24/10/2025, 11.28;24/10/2025, 11.28;Selesai
L8227UCD;CMAU2174080;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 13.50;05/11/2025, 09.54;Selesai
L8063WDC;CMAU2077855;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 13.47;05/11/2025, 09.51;Selesai
L9416UC;SEGU1070212;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 13.37;27/10/2025, 13.40;Selesai
L1352SA;-;TKT-48058670;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;23/10/2025, 12.43;23/10/2025, 12.43;Selesai
L8393DAB;-;TKT-61170099;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;23/10/2025, 11.00;23/10/2025, 11.00;Selesai
B9170PI;CMAU3206258;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 10.00;05/11/2025, 09.55;Selesai
L8357UD;APZU3354898;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 09.55;27/10/2025, 14.04;Selesai
L9363UD;TCLU3773300;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 09.54;27/10/2025, 14.01;Selesai
L8643UUC;TRLU9659758;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 09.45;27/10/2025, 14.17;Selesai
L9350UX;CMAU0970025;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 08.06;27/10/2025, 14.21;Selesai
B9562JK;CMAU3045512;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 07.44;27/10/2025, 14.24;Selesai
L9570UR;TEMU3539291;TKT-38808366;001909/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;23/10/2025, 05.01;27/10/2025, 14.00;Selesai
W1219SV;-;TKT-41594501;-;-;BERKAH KAWASAN MANYAR SEJAHTERA;Bongkar;22/10/2025, 23.06;22/10/2025, 23.06;Selesai
B9302TEN;-;TKT-41594501;-;-;BERKAH KAWASAN MANYAR SEJAHTERA;Bongkar;22/10/2025, 22.55;22/10/2025, 22.55;Selesai
W1479BK;-;TKT-41594501;-;-;BERKAH KAWASAN MANYAR SEJAHTERA;Bongkar;22/10/2025, 19.08;22/10/2025, 19.08;Selesai
W8070DR;-;TKT-86604364;004581/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 17.36;-;Berlangsung
L8376GB;-;TKT-86604364;004581/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 17.36;14/11/2025, 08.53;Selesai
B9396TX;CMAU0788427;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 15.18;-;Berlangsung
L9052UW;CMAU0358869;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 15.16;-;Berlangsung
B9312HJ;CMAU0785731;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 14.50;27/10/2025, 13.48;Selesai
W8424QH;-;TKT-66633525;004574/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 13.36;-;Berlangsung
L9258UO;FCIU6152994;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 13.25;27/10/2025, 13.50;Selesai
W8182CB;-;TKT-94442875;004565/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 12.29;27/10/2025, 11.54;Selesai
B9403SD;-;TKT-76158649;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;22/10/2025, 11.14;22/10/2025, 11.14;Selesai
L8771UM;-;TKT-76158649;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;22/10/2025, 11.06;22/10/2025, 11.06;Selesai
B9170PI;TLLU2753036;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 09.39;27/10/2025, 13.44;Selesai
L8485UB;CMAU2872096;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 08.56;27/10/2025, 13.43;Selesai
B9363RS;TEMU5448014;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 08.47;27/10/2025, 13.35;Selesai
L8737UH;FCIU5678665;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 08.00;27/10/2025, 13.33;Selesai
L8704UU;FCIU4581428;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 07.58;-;Berlangsung
B9502JK;TRHU2240210;TKT-25420223;001903/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;22/10/2025, 07.54;27/10/2025, 13.28;Selesai
W1479BK;-;TKT-43247912;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;21/10/2025, 19.58;21/10/2025, 19.58;Selesai
W1479BK;-;TKT-30687456;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;21/10/2025, 19.45;21/10/2025, 19.45;Selesai
W1628ON;-;TKT-24046020;004564/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;20/10/2025, 17.16;20/10/2025, 18.04;Selesai
S8637UK;-;TKT-69820786;004527/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;18/10/2025, 14.00;20/10/2025, 17.22;Selesai
L1095PW;-;TKT-56483375;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;17/10/2025, 13.16;17/10/2025, 13.16;Selesai
L8376GB;-;TKT-57817911;004529/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;17/10/2025, 10.56;20/10/2025, 09.32;Selesai
L9573UO;CSNU8236712;TKT-73936513;001291/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;17/10/2025, 09.58;20/10/2025, 10.38;Selesai
L8589UM;TXGU8019675;TKT-73936513;001291/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;17/10/2025, 09.53;20/10/2025, 10.41;Selesai
B9403SD;TIIU5813564;TKT-73936513;001291/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;17/10/2025, 09.49;20/10/2025, 10.43;Selesai
L9763CG;TLLU7738841;TKT-73936513;001291/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;17/10/2025, 09.47;20/10/2025, 10.45;Selesai
L8771UM;TGBU4839903;TKT-73936513;001291/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;17/10/2025, 09.43;20/10/2025, 18.02;Selesai
L9248VC;-;TKT-56932290;004525/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;17/10/2025, 09.15;17/10/2025, 11.17;Selesai
B9692IU;FFAU2963173;TKT-37287052;001881/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;17/10/2025, 08.34;20/10/2025, 09.34;Selesai
L9925V;-;TKT-29307648;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;16/10/2025, 20.28;16/10/2025, 20.28;Selesai
B1456UZW;-;TKT-29857364;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;16/10/2025, 20.25;16/10/2025, 20.25;Selesai
L8643UUC;ONEU2602317;TKT-72533326;001877/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;16/10/2025, 13.07;16/10/2025, 16.33;Selesai
B9692IU;TXGU7485658;TKT-67207777;001875/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;16/10/2025, 11.41;16/10/2025, 17.07;Selesai
L8719UV;CSLU1636999;TKT-89198836;001865/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.30;16/10/2025, 15.11;Selesai
L8712UV;CSLU1422600;TKT-89198836;001865/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.28;16/10/2025, 16.43;Selesai
L8039UL;CSLU2054293;TKT-89198836;001865/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.28;16/10/2025, 17.02;Selesai
L8398UD;SEGU2028285;TKT-89198836;001865/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.27;16/10/2025, 16.58;Selesai
L8861LW;DFSU1373466;TKT-89198836;001865/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.26;16/10/2025, 16.54;Selesai
W9181UQ;-;TKT-46836901;004500/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.25;16/10/2025, 14.12;Selesai
B9850TI;CSLU2421296;TKT-89198836;001865/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.24;16/10/2025, 17.05;Selesai
B9822UEH;TEMU3777962;TKT-89198836;001865/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.21;16/10/2025, 16.46;Selesai
L8511UU;FCIU5481594;TKT-89198836;001865/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;15/10/2025, 12.20;16/10/2025, 16.51;Selesai